"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Aerialephant","unf","Near Mint","English","","","2025-11-24 17:25:14.333000","2","False","False","0.05"
"1","1","Aerie Auxiliary","mh3","Near Mint","English","","","2025-04-28 06:37:25.550000","18","False","False","0.05"
"3","3","Aeronaut Cavalry","bro","Near Mint","English","","","2025-04-28 06:37:25.550000","1","False","False","0.06"
"1","1","Aether Channeler","dmu","Near Mint","Spanish","","","2024-11-08 12:05:55.887000","42","False","False",""
"1","1","Aether Gale","c21","Near Mint","English","","","2024-10-21 10:26:35.740000","113","False","False",""
"1","1","Aether Syphon","dft","Near Mint","English","","","2025-03-03 13:46:00.783000","38","False","False",""
"1","1","Aetherize","40k","Near Mint","English","","","2024-10-18 23:07:08.680000","191","False","False",""
"1","1","Aetherjacket","dft","Near Mint","English","foil","","2025-08-05 16:30:28.470000","230","False","False","0.04"
"1","1","Affectionate Indrik","fdn","Near Mint","English","","","2024-12-21 09:51:51.047000","211","False","False",""
"1","1","Afterlife from the Loam","tdc","Near Mint","Spanish","","","2025-04-16 17:30:53.453000","25","False","False",""
"1","1","Agate Assault","blb","Near Mint","English","","","2025-11-24 17:25:14.333000","122","False","False","0.07"
"1","1","Agate Assault","blb","Near Mint","English","","","2025-05-13 08:55:27.847000","122","False","False",""
"1","1","Agate Assault","blb","Near Mint","Spanish","","","2024-10-22 08:28:40.683000","122","False","False",""
"1","1","Agate-Blade Assassin","blb","Near Mint","English","","","2025-11-24 17:25:14.333000","82","False","False","0.08"
"1","1","Agent of the Iron Throne","clb","Near Mint","English","etched","","2025-02-19 09:24:06.077000","492","False","False",""
"1","1","Agent of the Iron Throne","clb","Near Mint","Spanish","","","2025-11-17 08:09:05.513000","107","False","False","0.45"
"1","1","Aggressive Biomancy","m3c","Near Mint","English","","","2024-10-18 22:32:10.350000","121","False","False",""
"1","1","Aggressive Mammoth","fdn","Near Mint","Spanish","","","2025-05-02 08:25:15.180000","551","False","False",""
"1","1","Aggressive Sabotage","dmu","Near Mint","German","","","2025-01-20 10:20:10.197000","78","False","False",""
"1","1","Agonizing Syphon","m20","Near Mint","Spanish","","","2025-11-24 17:25:14.333000","83","False","False","0.03"
"1","1","Ahriman","fin","Near Mint","Spanish","","","2025-06-23 16:34:13.207000","87","False","False","0.02"
"1","1","Ahriman","fin","Near Mint","English","","","2025-07-01 06:03:05.183000","87","False","False",""
"1","1","Ainok Wayfarer","tdm","Near Mint","English","","","2025-05-18 06:33:17.150000","134","False","False",""
"1","1","Air Elemental","m20","Near Mint","Spanish","","","2025-11-24 17:25:14.333000","44","False","False","0.03"
"1","1","Ajani Fells the Godsire","mh3","Near Mint","Spanish","","","2025-11-12 10:11:55.850000","19","False","False","0.08"
"1","1","Ajani's Pridemate","fdn","Near Mint","Spanish","","","2025-11-24 17:25:14.333000","135","False","False","0.17"
"1","1","Ajani's Pridemate","fdn","Near Mint","English","","","2025-11-24 17:25:14.333000","135","False","False","0.17"
"1","1","Al Bhed Salvagers","fin","Near Mint","Spanish","","","2025-06-23 16:34:13.207000","88","False","False","0.02"
"1","1","Alania's Pathmaker","blb","Near Mint","English","","","2025-04-28 06:37:25.550000","123","False","False","0.07"
"1","1","Alania's Pathmaker","blb","Near Mint","Spanish","","","2024-10-22 08:27:49.107000","123","False","False",""
"1","1","Alchemist's Greeting","inr","Near Mint","Spanish","","","2025-01-25 23:27:52.177000","140","False","False",""
"1","1","Alesha, Who Laughs at Fate","fdn","Near Mint","Spanish","foil","","2024-11-09 09:39:20.903000","115","False","False",""
"2","2","All Will Be One","one","Near Mint","Spanish","","","2025-04-22 09:26:13.410000","118","False","False",""
"1","1","Alley Strangler","aer","Near Mint","English","","","2025-04-28 06:37:25.550000","52","False","False","0.07"
"1","1","All-Fates Scroll","eoe","Near Mint","English","","","2025-08-21 20:56:37.747000","234","False","False","0.14"
"1","1","All-Fates Scroll","eoe","Near Mint","Spanish","","","2025-08-21 20:56:37.747000","234","False","False","0.14"
"1","1","All-Fates Stalker","eoe","Near Mint","Spanish","","","2025-08-21 20:56:37.747000","3","False","False","0.11"
"2","2","Allies at Last","tla","Near Mint","English","","","2025-11-15 16:33:07.270000","164","False","False","0.15"
"1","1","Alloy Animist","bro","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","166","False","False","0.06"
"1","1","Alpharael, Dreaming Acolyte","eoe","Near Mint","English","","","2025-08-21 20:59:01.370000","212","False","False",""
"2","2","Alpine Grizzly","ktk","Near Mint","English","","","2025-04-28 06:37:25.550000","127","False","False","0.13"
"2","2","Altanak, the Thrice-Called","dsk","Near Mint","English","","","2024-10-21 20:58:45.240000","166","False","False",""
"1","1","Altered Ego","soi","Near Mint","English","","","2024-10-18 23:15:28.393000","241","False","False",""
"1","1","Ambitious Aetherborn","kld","Near Mint","English","","","2025-04-28 06:37:25.550000","72","False","False","0.04"
"1","1","Ambitious Assault","neo","Near Mint","English","","","2025-11-24 17:25:14.333000","133","False","False","0.04"
"1","1","Ambrosia Whiteheart","fin","Near Mint","Spanish","","","2025-06-23 16:34:13.207000","6","False","False","0.02"
"1","1","Ambush Paratrooper","bro","Near Mint","English","","","2025-04-28 06:37:25.550000","3","False","False","0.03"
"1","1","Ambush Paratrooper","bro","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","3","False","False","0.03"
"2","2","Ambush Wolf","fdn","Near Mint","English","","","2025-11-24 17:25:14.333000","98","False","False","0.05"
"1","1","Aminatou, the Fateshifter","2x2","Near Mint","English","","","2025-04-07 13:25:51.913000","169","False","False",""
"1","1","Aminatou, Veil Piercer","dsc","Near Mint","Spanish","foil","","2024-10-21 11:59:57.420000","1","False","False",""
"1","1","Aminatou's Augury","dsc","Near Mint","Spanish","","","2024-10-21 12:01:40.720000","71","False","False",""
"1","1","Amphibian Downpour","mh3","Near Mint","English","","","2025-07-04 17:31:14.547000","51","False","False",""
"1","1","Amphin Mutineer","tdc","Near Mint","Spanish","","","2025-04-16 17:26:58.507000","143","False","False",""
"1","1","An Offer You Can't Refuse","fdn","Near Mint","English","","","2024-11-17 01:53:51.833000","160","False","False",""
"1","1","Ancestral Blade","cmm","Near Mint","English","","","2025-04-28 06:37:25.550000","12","False","False","0.03"
"1","1","Ancient Cellarspawn","dsc","Near Mint","Spanish","","","2024-10-21 11:59:06.513000","16","False","False",""
"4","4","Ancient Grudge","tsr","Near Mint","Spanish","","","2025-11-13 19:03:59.300000","151","False","False","0.21"
"1","1","Ancient Imperiosaur","mom","Near Mint","Spanish","","","2024-11-08 12:03:53.390000","174","False","False",""
"1","1","Angel of Finality","fdn","Near Mint","Spanish","","","2024-11-09 09:36:15.880000","136","False","False",""
"1","1","Angel of Renewal","bfz","Near Mint","English","","","2025-04-28 06:37:25.550000","18","False","False","0.05"
"2","2","Angry Rabble","spm","Near Mint","English","","","2025-10-05 12:47:59.777000","75","False","False",""
"1","1","Animist's Awakening","ori","Near Mint","Spanish","","","2024-10-21 12:39:26.313000","169","False","False",""
"1","1","Ankle Biter","otj","Near Mint","English","","","2025-04-28 06:37:25.550000","153","False","False","0.08"
"2","2","Annoyed Altisaur","mh3","Near Mint","English","","","2025-04-28 06:37:25.550000","284","False","False","0.12"
"1","1","Annul","eoe","Near Mint","Spanish","","","2025-08-21 20:56:37.747000","46","False","False","0.19"
"1","1","Annul","eoe","Near Mint","English","","","2025-08-21 20:56:37.747000","46","False","False","0.19"
"3","3","Anthropede","dsk","Near Mint","English","","","2024-10-21 21:00:01.980000","167","False","False",""
"1","1","Anticausal Vestige","eoe","Near Mint","Spanish","","","2025-08-11 08:58:37.620000","1","False","False","0.02"
"1","1","Apocalypse Hydra","mm2","Near Mint","English","","","2024-10-21 11:17:50.383000","171","False","False",""
"2","2","Apothecary Stomper","fdn","Near Mint","Spanish","","","2024-11-14 09:13:40.810000","99","False","False",""
"2","2","Apothecary Stomper","fdn","Near Mint","English","","","2025-11-24 17:25:14.333000","99","False","False","0.02"
"2","2","Appeal to Eirdu","ecl","Near Mint","Spanish","","","2026-03-16 09:34:40.437000","5","False","False","0.03"
"1","1","Appeal to Eirdu","ecl","Near Mint","Spanish","","","2026-01-19 17:35:55.460000","5","False","False","0.08"
"3","3","Appendage Amalgam","dsk","Near Mint","English","","","2024-10-22 09:57:28.330000","83","False","False",""
"1","1","Appendage Amalgam","dsk","Near Mint","Spanish","","","2025-03-30 08:58:05.707000","83","False","False",""
"1","1","Arabella, Abandoned Doll","dsk","Near Mint","English","foil","","2024-10-21 15:34:18.157000","208","False","False",""
"1","1","Arabella, Abandoned Doll","dsk","Near Mint","English","","","2024-10-21 15:34:06.843000","208","False","False",""
"1","1","Arabella, Abandoned Doll","dsk","Near Mint","Spanish","","","2025-03-30 08:54:34.207000","208","False","False",""
"1","1","Aragorn and Arwen, Wed","ltr","Near Mint","English","foil","","2024-11-08 11:51:52.473000","287","False","False",""
"1","1","Araña, Heart of the Spider","spm","Near Mint","Spanish","","","2025-09-30 06:45:57.027000","123","False","False",""
"1","1","Arbiter of Woe","fdn","Near Mint","English","foil","","2025-11-24 16:58:04.680000","55","False","False",""
"1","1","Arcane Denial","dsc","Near Mint","Spanish","","","2024-10-21 12:02:38.150000","110","False","False",""
"1","1","Arcane Sanctum","dsc","Near Mint","Spanish","","","2024-10-21 12:13:53.127000","259","False","False",""
"1","1","Arcane Signet","dsc","Near Mint","Spanish","","","2024-10-21 12:04:40.550000","92","False","False",""
"1","1","Arcane Signet","otc","Near Mint","English","","","2024-10-21 10:30:27.310000","252","False","False",""
"1","1","Arcane Signet","tdc","Near Mint","Spanish","","","2025-04-16 17:30:32.587000","105","False","False",""
"1","1","Arcane Signet","40k","Near Mint","English","","","2024-10-18 22:39:27.237000","227","False","False",""
"1","1","Arcbound Tracker","mh2","Near Mint","English","","","2024-10-22 08:45:51.470000","112","False","False",""
"1","1","Archenemy's Charm","eoe","Near Mint","Spanish","","","2025-08-05 17:31:54.153000","88","False","False",""
"1","1","Archetype of Imagination","dsc","Near Mint","Spanish","","","2024-10-21 11:59:28.753000","111","False","False",""
"2","2","Archive Dragon","woe","Near Mint","Spanish","","","2024-11-08 12:06:33.610000","41","False","False",""
"1","1","Archmage Emeritus","otc","Near Mint","English","","","2024-11-08 09:54:56.337000","90","False","False",""
"1","1","Archon of Sun's Grace","thb","Near Mint","Spanish","","","2025-10-23 22:06:37.823000","3","False","False",""
"1","1","Argivian Phalanx","dmu","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","5","False","False","0.02"
"1","1","Argothian Opportunist","bro","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","167","False","False","0.05"
"2","2","Argothian Sprite","bro","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","168","False","False","0.05"
"2","2","Armasaur Guide","fdn","Near Mint","English","","","2025-11-24 17:25:14.333000","3","False","False","0.06"
"2","2","Armored Armadillo","otj","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","3","False","False","0.09"
"2","2","Armored Armadillo","otj","Near Mint","English","","","2025-04-28 06:37:25.550000","3","False","False","0.09"
"2","2","Armory Guard","rvr","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","3","False","False","0.02"
"1","1","Armory Veteran","afr","Near Mint","Spanish","","","2024-10-22 08:46:26.820000","130","False","False",""
"1","1","Arms of Hadar","clb","Near Mint","English","","","2025-11-24 16:55:54.193000","113","False","False",""
"1","1","Arms of Hadar","clb","Near Mint","Spanish","","","2025-11-24 16:56:16.693000","113","False","False",""
"1","1","Arvinox, the Mind Flail","dsc","Near Mint","Spanish","","","2024-10-21 11:59:33.203000","130","False","False",""
"1","1","Ash Barrens","pip","Near Mint","English","","","2024-10-21 10:22:55.723000","253","False","False",""
"2","2","Ash Barrens","dsc","Near Mint","English","","","2025-05-15 08:45:05.193000","260","False","False",""
"1","1","Ash Barrens","dsc","Near Mint","Spanish","","","2024-10-21 12:14:02.187000","260","False","False",""
"1","1","Ash Barrens","40k","Near Mint","English","","","2024-10-22 10:08:33.363000","265","False","False",""
"1","1","Ashiok's Skulker","war","Near Mint","English","","","2025-11-24 17:25:14.333000","40","False","False","0.11"
"1","1","Ashling's Command","ecl","Near Mint","Spanish","","","2026-01-19 17:35:55.460000","205","False","False","1.00"
"4","4","Ashnod's Altar","chr","Near Mint","English","","","2025-11-18 12:54:13.420000","92","False","False",""
"1","1","Assault Suit","c14","Near Mint","English","","","2025-04-09 10:29:39.440000","53","False","False",""
"2","2","Assert Perfection","ecl","Near Mint","Spanish","","","2026-01-19 17:35:55.460000","164","False","False","0.09"
"1","1","Astelli Reclaimer","eoe","Near Mint","English","","","2025-08-05 17:37:11.600000","4","False","False",""
"1","1","Astral Cornucopia","brr","Near Mint","English","","","2024-10-18 22:40:15.133000","5","False","False",""
"1","1","Atalan Jackal","40k","Near Mint","English","","","2024-10-18 22:30:33.297000","105","False","False",""
"1","1","Athreos, Shroud-Veiled","dsc","Near Mint","Spanish","","","2024-10-21 11:59:38.073000","212","False","False",""
"1","1","Atmospheric Greenhouse","eoe","Near Mint","English","foil","","2025-08-21 20:56:37.747000","171","False","False","0.07"
"2","2","Atomic Microsizer","eoe","Near Mint","Spanish","","","2025-08-21 20:56:37.747000","47","False","False","0.06"
"1","1","Attack-in-the-Box","dsk","Near Mint","English","","","2024-10-22 10:01:49.553000","242","False","False",""
"1","1","Attune with Aether","drc","Near Mint","English","","","2025-04-28 06:37:25.550000","109","False","False","0.09"
"1","1","Audacity","bro","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","169","False","False","0.40"
"1","1","Auramancer","dsc","Near Mint","Spanish","","","2024-10-21 11:59:44.217000","97","False","False",""
"2","2","Auriok Sunchaser","som","Near Mint","Spanish","","","2025-06-08 10:22:41.153000","4","False","False",""
"1","1","Autarch Mammoth","dft","Near Mint","English","","","2025-03-03 13:44:09.273000","153","False","False",""
"1","1","Authority of the Consuls","fdn","Near Mint","English","","","2024-11-17 01:54:03.800000","137","False","False",""
"2","2","Auxiliary Boosters","eoe","Near Mint","Spanish","","","2025-08-21 20:56:37.747000","5","False","False","0.05"
"1","1","Auxiliary Boosters","eoe","Near Mint","English","","","2025-08-21 20:56:37.747000","5","False","False","0.05"
"1","1","Auxiliary Boosters","eoe","Near Mint","Spanish","foil","","2025-08-21 20:56:37.747000","5","False","False","0.02"
"1","1","Avenger of Zendikar","tdc","Near Mint","Spanish","","","2025-04-16 17:27:03.257000","247","False","False",""
"1","1","Avenging Hunter","clb","Near Mint","Spanish","","","2025-11-24 17:25:14.333000","215","False","False","2.02"
"1","1","Awaken the Honored Dead","tdm","Near Mint","Spanish","","","2025-06-25 07:04:36.663000","170","False","False",""
"1","1","Awakened Awareness","neo","Near Mint","English","","","2025-11-24 17:25:14.333000","47","False","False","0.06"
"1","1","Axgard Cavalry","fdn","Near Mint","English","","","2025-11-24 17:25:14.333000","189","False","False","0.04"
"1","1","Azorius Chancery","dsc","Near Mint","Spanish","","","2024-10-21 12:14:10.220000","261","False","False",""
"1","1","Azorius Signet","dsc","Near Mint","Spanish","","","2024-10-21 12:04:44.283000","240","False","False",""
"1","1","Azula Always Lies","tla","Near Mint","English","","","2025-11-15 16:30:23.090000","84","False","False",""
"1","1","Azula, On the Hunt","tla","Near Mint","English","","","2025-11-15 16:30:41.703000","85","False","False",""
"1","1","Back for Seconds","woe","Near Mint","English","","","2025-01-13 18:46:23.993000","80","False","False",""
"1","1","Back on Track","dft","Near Mint","English","","","2025-08-05 16:30:48.110000","76","False","False",""
"1","1","Backstreet Bruiser","snc","Near Mint","Spanish","","","2024-10-22 07:38:02.223000","35","False","False",""
"1","1","Badgermole","tla","Near Mint","English","","","2025-11-15 16:33:07.270000","166","False","False","0.11"
"1","1","Badgermole","tla","Near Mint","English","foil","","2025-11-15 16:33:07.270000","166","False","False","0.16"
"2","2","Bag End Porter","ltr","Near Mint","English","","","2024-11-08 11:51:52.473000","153","False","False",""
"1","1","Bagel and Schmear","spm","Near Mint","Spanish","","","2025-09-30 06:53:47.817000","161","False","False","0.02"
"1","1","Bake into a Pie","fdn","Near Mint","Spanish","foil","","2024-11-14 09:26:55.700000","169","False","False",""
"1","1","Balemurk Leech","dsk","Near Mint","Spanish","","","2025-03-30 08:52:58.623000","84","False","False",""
"3","3","Balemurk Leech","dsk","Near Mint","English","","","2024-10-22 09:52:32.063000","84","False","False",""
"1","1","Balmor, Battlemage Captain","fdn","Near Mint","English","","","2024-11-17 01:53:12.320000","237","False","False",""
"1","1","Bamboo Grove Archer","neo","Near Mint","English","","","2025-11-24 17:25:14.333000","173","False","False","0.02"
"1","1","Banefire","mm2","Near Mint","English","","","2025-08-07 16:48:52.440000","104","False","False",""
"2","2","Bane's Invoker","clb","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","7","False","False","0.06"
"1","1","Banishing Light","fdn","Near Mint","English","","","2025-10-21 12:58:38.197000","138","False","False","0.03"
"1","1","Banishing Light","blb","Near Mint","Spanish","","","2024-10-22 09:24:30.917000","1","False","False",""
"2","2","Banishing Light","ltc","Near Mint","English","","","2024-11-08 11:51:52.473000","161","False","False",""
"1","1","Banishing Light","eoe","Near Mint","Spanish","","","2025-09-01 16:39:28.257000","6","False","False","0.05"
"2","2","Banishing Light","eoe","Near Mint","English","","","2025-08-21 20:56:37.747000","6","False","False","0.06"
"1","1","Banishment","clb","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","8","False","False","0.10"
"1","1","Bar Entry","unf","Near Mint","English","","","2025-11-24 17:25:14.333000","4","False","False","0.06"
"1","1","Barbed Bloodletter","ecl","Near Mint","Spanish","","","2026-01-19 17:35:55.460000","86","False","False","0.10"
"1","1","Bard's Bow","fin","Near Mint","Spanish","foil","","2025-06-23 16:34:13.207000","174","False","False","0.07"
"1","1","Bard's Bow","fin","Near Mint","Spanish","","","2025-06-23 16:34:13.207000","174","False","False","0.04"
"1","1","Bark of Doran","ecl","Near Mint","Spanish","","","2026-03-16 09:34:40.437000","6","False","False","0.09"
"2","2","Barkform Harvester","blb","Near Mint","Spanish","","","2024-10-22 10:05:41.743000","243","False","False",""
"1","1","Barkform Harvester","blb","Near Mint","English","foil","","2025-11-17 08:09:05.513000","243","False","False","0.16"
"1","1","Bark-Knuckle Boxer","blb","Near Mint","Spanish","","","2024-10-21 21:05:37.500000","164","False","False",""
"1","1","Barkweave Crusher","dmu","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","154","False","False","0.04"
"2","2","Barrels of Blasting Jelly","tla","Near Mint","English","","","2025-11-15 16:33:07.270000","254","False","False","0.10"
"1","1","Barrow Naughty","woe","Near Mint","English","","","2025-11-24 16:56:53.857000","81","False","False",""
"1","1","Bartered Cow","eld","Near Mint","English","","","2025-04-28 06:37:25.550000","6","False","False","0.07"
"1","1","Baseball Bat","dsk","Near Mint","English","","","2024-10-21 15:37:10.050000","209","False","False",""
"3","3","Bashful Beastie","dsk","Near Mint","English","","","2024-10-21 20:59:11.030000","169","False","False",""
"1","1","Basilica Guards","rvr","Near Mint","English","","","2025-11-24 17:25:14.333000","7","False","False","0.04"
"1","1","Basilisk Collar","pip","Near Mint","English","","","2024-10-21 10:43:38.883000","225","False","False",""
"1","1","Basri, Tomorrow's Champion","dft","Near Mint","English","","","2025-03-03 13:44:24.127000","3","False","False",""
"1","1","Bastion Mastodon","kld","Near Mint","English","","","2025-04-28 06:37:25.550000","197","False","False","0.03"
"1","1","Bastion of Remembrance","j25","Near Mint","English","","","2025-01-13 18:50:17.947000","403","False","False",""
"4","4","Battle Screech","jud","Near Mint","Spanish","","","2024-10-28 10:26:07.407000","3","False","False",""
"1","1","Battle-Rage Blessing","dmu","Near Mint","Spanish","","","2024-10-22 09:46:41.740000","80","False","False",""
"1","1","Beamsaw Prospector","eoe","Near Mint","English","","","2025-08-21 20:56:37.747000","89","False","False","0.07"
"2","2","Beamsaw Prospector","eoe","Near Mint","Spanish","","","2025-08-21 20:56:37.747000","89","False","False","0.07"
"3","3","Bear Trap","dsk","Near Mint","English","","","2024-10-22 10:03:14.120000","243","False","False",""
"1","1","Bear Trap","dsk","Near Mint","Spanish","","","2025-03-30 08:52:15.763000","243","False","False",""
"1","1","Bearer of Glory","tdm","Near Mint","English","","","2025-05-18 06:32:20.010000","4","False","False",""
"1","1","Beast Within","tdc","Near Mint","English","","","2025-05-13 08:54:11.377000","249","False","False",""
"1","1","Beastie Beatdown","dsk","Near Mint","English","foil","","2024-10-21 15:46:58.277000","210","False","False",""
"2","2","Beastie Beatdown","dsk","Near Mint","English","","","2024-10-21 15:46:55.253000","210","False","False",""
"1","1","Beastrider Vanguard","dft","Near Mint","English","","","2025-03-03 13:42:49.287000","154","False","False",""
"1","1","Bedevil","dsc","Near Mint","English","","","2025-01-13 18:48:59.553000","84","False","False",""
"3","3","Bedhead Beastie","dsk","Near Mint","English","","","2024-10-22 08:41:00.483000","125","False","False",""
"1","1","Behold the Multiverse","khm","Near Mint","Spanish","","","2024-10-21 10:30:17.553000","46","False","False",""
"1","1","Bellowing Crier","blb","Near Mint","English","","","2025-11-24 17:25:14.333000","42","False","False","0.08"
"2","2","Bellowing Elk","mh1","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","157","False","False","0.03"
"1","1","Bender's Waterskin","tla","Near Mint","English","","","2025-11-15 16:33:07.270000","255","False","False","0.74"
"1","1","Benevolent Bodyguard","ema","Near Mint","English","","","2024-10-21 11:26:56.637000","4","False","False",""
"1","1","Bestial Bloodline","woe","Near Mint","English","","","2025-04-28 06:37:25.550000","162","False","False","0.02"
"1","1","Bestow Greatness","dft","Near Mint","English","","","2025-05-25 11:23:38.607000","155","False","False","0.09"
"1","1","Bestow Greatness","dft","Near Mint","English","","","2025-03-03 13:43:27.723000","155","False","False",""
"1","1","Betrayer's Bargain","dsk","Near Mint","Spanish","","","2025-03-30 09:00:06.823000","126","False","False",""
"2","2","Betrayer's Bargain","dsk","Near Mint","English","","","2024-10-22 08:43:01.247000","126","False","False",""
"1","1","Bewilder","tsr","Near Mint","English","","","2025-11-24 17:25:14.333000","53","False","False","0.05"
"1","1","Bewitching Leechcraft","ltr","Near Mint","English","","","2025-11-24 17:25:14.333000","41","False","False","0.05"
"1","1","Beyond the Quiet","eoe","Near Mint","Spanish","","","2025-09-13 23:26:56.867000","303","False","False",""
"1","1","Big Score","snc","Near Mint","Spanish","","","2024-10-21 10:33:03.940000","102","False","False",""
"1","1","Bigfin Bouncer","fdn","Near Mint","Spanish","","","2024-11-14 09:22:20.630000","31","False","False",""
"1","1","Bigfin Bouncer","fdn","Near Mint","English","","","2025-11-24 17:25:14.333000","31","False","False","0.07"
"1","1","Bilbo's Ring","ltr","Near Mint","English","","","2024-11-08 11:51:52.473000","298","False","False",""
"1","1","Bile-Vial Boggart","ecl","Near Mint","Spanish","","","2026-01-19 17:35:55.460000","87","False","False","0.12"
"1","1","Billowing Shriekmass","fdn","Near Mint","Spanish","","","2024-11-09 09:28:56.477000","56","False","False",""
"2","2","Billowing Shriekmass","fdn","Near Mint","English","","","2025-10-05 12:51:14.250000","56","False","False",""
"1","1","Bind the Monster","khm","Near Mint","Spanish","","","2025-11-24 17:25:14.333000","48","False","False","0.25"
"1","1","Bioengineered Future","eoe","Near Mint","Spanish","","","2025-08-05 17:34:12.310000","172","False","False",""
"1","1","Biolume Egg // Biolume Serpent","inr","Near Mint","Spanish","","","2025-01-25 23:17:26.413000","455","False","False",""
"1","1","Biomechan Engineer","eoe","Near Mint","English","","","2025-08-21 20:59:42.917000","213","False","False",""
"1","1","Biophagus","40k","Near Mint","English","","","2024-10-18 22:33:32.867000","87","False","False",""
"1","1","Biosynthic Burst","eoe","Near Mint","English","foil","","2025-08-21 20:56:37.747000","173","False","False","0.10"
"2","2","Biosynthic Burst","eoe","Near Mint","English","","","2025-08-21 20:56:37.747000","173","False","False","0.09"
"2","2","Biosynthic Burst","eoe","Near Mint","Spanish","","","2025-08-21 20:56:37.747000","173","False","False","0.09"
"1","1","Biotech Specialist","eoe","Near Mint","Spanish","","","2025-08-05 17:29:24.800000","214","False","False",""
"1","1","Birds of Paradise","m11","Near Mint","English","","","2024-12-04 09:43:59.303000","165","False","False",""
"1","1","Birgi, God of Storytelling // Harnfel, Horn of Bounty","khm","Near Mint","English","","","2025-01-22 09:36:02.287000","311","False","False",""
"1","1","Bishop of Rebirth","pxln","Near Mint","Spanish","foil","","2025-05-25 11:23:38.607000","5","False","False","0.31"
"1","1","Bite Down","fdn","Near Mint","English","","","2025-10-05 12:50:08.217000","212","False","False",""
"1","1","Bite Down","fdn","Near Mint","Spanish","","","2024-11-09 09:24:21.207000","212","False","False",""
"1","1","Bitterbloom Bearer","ecl","Near Mint","Spanish","","","2026-03-16 09:34:40.437000","88","False","False","18.48"
"2","2","Black Mage's Rod","fin","Near Mint","Spanish","","","2025-06-23 16:34:13.207000","90","False","False","0.32"
